Part,Length,ng/uL,20 fmol,uL to add,50-E,source plate,source well
TU1-5',556,5,7.34,1.47,,Plate1,A1
TU1-3',208,5,2.75,0.55,,Plate1,A2
PSMB gblock,848,10,11.19,1.12,,Plate1,A3
pYTK001,2676,50,35.32,0.71,,Plate1,A4
TU1-5' gblock,250,5,3.3,0.66,9.9,Plate1,A5
TU1-3',150,5,1.98,0.4,5.94,Plate1,A6
PSMB gblock,800,10,10.56,1.06,15.84,Plate1,A7
pYTK001,2676,50,35.32,0.71,10.59696,Plate1,A8
pYTK001,2676,245.2,35.32,0.14,,Plate1,A9
pYTK002,1856,175.8,24.5,0.14,,Plate1,A10
pYTK003,1856,296.4,24.5,0.08,,Plate1,A11
pYTK004,1856,296.8,24.5,0.08,,Plate1,A12
pYTK005,1856,306.5,24.5,0.08,,Plate1,B1
pYTK006,1856,298.4,24.5,0.08,,Plate1,B2
pYTK007,1856,269.4,24.5,0.09,,Plate1,B3
pYTK008,1835,288.2,24.22,0.08,,Plate1,B4
pYTK009,2351,285,31.03,0.11,,Plate1,B5
pYTK010,2371,240.2,31.3,0.13,,Plate1,B6
pYTK011,2371,264.6,31.3,0.12,,Plate1,B7
pYTK012,2347,268.1,30.98,0.12,,Plate1,B8
pYTK013,2371,327,31.3,0.1,,Plate1,B9
pYTK014,2371,385.6,31.3,0.08,,Plate1,B10
pYTK015,2371,321.9,31.3,0.1,,Plate1,B11
pYTK016,2370,256.2,31.28,0.12,,Plate1,B12
pYTK017,2371,434.9,31.3,0.07,,Plate1,C1
pYTK018,2371,369.7,31.3,0.08,,Plate1,C2
pYTK019,2371,306,31.3,0.1,,Plate1,C3
pYTK020,2371,351.7,31.3,0.09,,Plate1,C4
pYTK021,2371,320.2,31.3,0.1,,Plate1,C5
pYTK022,2371,231,31.3,0.14,,Plate1,C6
pYTK023,2371,236.9,31.3,0.13,,Plate1,C7
pYTK024,2371,223.7,31.3,0.14,,Plate1,C8
pYTK025,2365,355.5,31.22,0.09,,Plate1,C9
pYTK026,2371,238.2,31.3,0.13,,Plate1,C10
pYTK027,2371,230.5,31.3,0.14,,Plate1,C11
pYTK028,2371,264.9,31.3,0.12,,Plate1,C12
pYTK029,2421,350.2,31.96,0.09,,Plate1,D1
pYTK030,2204,287.8,29.09,0.1,,Plate1,D2
pYTK031,1977,220.2,26.1,0.12,,Plate1,D3
pYTK032,2382,208.4,31.44,0.15,,Plate1,D4
pYTK033,2379,175.3,31.4,0.18,,Plate1,D5
pYTK034,2376,240.1,31.36,0.13,,Plate1,D6
pYTK035,2373,287.6,31.32,0.11,,Plate1,D7
pYTK036,5829,225.2,76.94,0.34,,Plate1,D8
pYTK037,2382,209.7,31.44,0.15,,Plate1,D9
pYTK038,2379,285.9,31.4,0.11,,Plate1,D10
pYTK039,2376,166.8,31.36,0.19,,Plate1,D11
pYTK040,1761,278.4,23.25,0.08,,Plate1,D12
pYTK041,2013,197.9,26.57,0.13,,Plate1,E1
pYTK042,2013,372.4,26.57,0.07,,Plate1,E2
pYTK043,2013,299.6,26.57,0.09,,Plate1,E3
pYTK044,2382,257.4,31.44,0.12,,Plate1,E4
pYTK045,2379,303.3,31.4,0.1,,Plate1,E5
pYTK046,2376,255.7,31.36,0.12,,Plate1,E6
pYTK047,2684,438.2,35.43,0.08,,Plate1,E7
pYTK048,1703,317.8,22.48,0.07,,Plate1,E8
pYTK049,1684,277.8,22.23,0.08,,Plate1,E9
pYTK050,3108,336.4,41.03,0.12,,Plate1,E10
pYTK051,1900,256.6,25.08,0.1,,Plate1,E11
pYTK052,1900,261.7,25.08,0.1,,Plate1,E12
pYTK053,1900,408.5,25.08,0.06,,Plate1,F1
pYTK054,1900,375.9,25.08,0.07,,Plate1,F2
pYTK055,1900,304.7,25.08,0.08,,Plate1,F3
pYTK056,1899,353.6,25.07,0.07,,Plate1,F4
pYTK057,2389,261.1,31.53,0.12,,Plate1,F5
pYTK058,2386,242,31.5,0.13,,Plate1,F6
pYTK059,2383,283.7,31.46,0.11,,Plate1,F7
pYTK060,1768,347.9,23.34,0.07,,Plate1,F8
pYTK061,1891,427.7,24.96,0.06,,Plate1,F9
pYTK062,1891,265.5,24.96,0.09,,Plate1,F10
pYTK063,1891,419.3,24.96,0.06,,Plate1,F11
pYTK064,1891,359.6,24.96,0.07,,Plate1,F12
pYTK065,1891,348.3,24.96,0.07,,Plate1,G1
pYTK066,1890,404.4,24.95,0.06,,Plate1,G2
pYTK067,1835,354.2,24.22,0.07,,Plate1,G3
pYTK068,1835,403.4,24.22,0.06,,Plate1,G4
pYTK069,1835,272.1,24.22,0.09,,Plate1,G5
pYTK070,1835,337.6,24.22,0.07,,Plate1,G6
pYTK071,1835,283.5,24.22,0.09,,Plate1,G7
