Source Plate Name,Source Well,Destination Plate Name,Destination Well,Volume
Plate1,A1,Plate1,A1,Sample volume needed 51.47 / available volume 5.
Source water,A1,Plate1,A1,
Plate1,A2,Plate1,A2,Sample volume needed 19.23 / available volume 5.
Source water,A1,Plate1,A2,
Plate1,A3,Plate1,A3,Sample volume needed 39.33 / available volume 5.
Source water,A1,Plate1,A3,
Plate1,A4,Plate1,A4,Sample volume needed 24.65 / available volume 5.
Source water,A1,Plate1,A4,
Plate1,A5,Plate1,A5,Sample volume needed 23.03 / available volume 5.
Source water,A1,Plate1,A5,
Plate1,A6,Plate1,A6,Sample volume needed 13.83 / available volume 5.
Source water,A1,Plate1,A6,
Plate1,A7,Plate1,A7,Sample volume needed 36.84 / available volume 5.
Source water,A1,Plate1,A7,
Plate1,A8,Plate1,A8,Sample volume needed 24.65 / available volume 5.
Source water,A1,Plate1,A8,
Plate1,A9,Plate1,A9,Sample volume needed 10.09 / available volume 5.
Source water,A1,Plate1,A9,
Plate1,A10,Plate1,A10,Sample volume needed 9.75 / available volume 5.
Source water,A1,Plate1,A10,
Plate1,A11,Plate1,A11,Sample volume needed 5.79 / available volume 5.
Source water,A1,Plate1,A11,
Plate1,A12,Plate1,A12,Sample volume needed 5.78 / available volume 5.
Source water,A1,Plate1,A12,
Plate1,B1,Plate1,B1,Sample volume needed 5.59 / available volume 5.
Source water,A1,Plate1,B1,
Plate1,B2,Plate1,B2,Sample volume needed 5.75 / available volume 5.
Source water,A1,Plate1,B2,
Plate1,B3,Plate1,B3,Sample volume needed 6.36 / available volume 5.
Source water,A1,Plate1,B3,
Plate1,B4,Plate1,B4,Sample volume needed 5.88 / available volume 5.
Source water,A1,Plate1,B4,
Plate1,B5,Plate1,B5,Sample volume needed 7.63 / available volume 5.
Source water,A1,Plate1,B5,
Plate1,B6,Plate1,B6,Sample volume needed 9.11 / available volume 5.
Source water,A1,Plate1,B6,
Plate1,B7,Plate1,B7,Sample volume needed 8.27 / available volume 5.
Source water,A1,Plate1,B7,
Plate1,B8,Plate1,B8,Sample volume needed 8.08 / available volume 5.
Source water,A1,Plate1,B8,
Plate1,B9,Plate1,B9,Sample volume needed 6.7 / available volume 5.
Source water,A1,Plate1,B9,
Plate1,B10,Plate1,B10,Sample volume needed 5.68 / available volume 5.
Source water,A1,Plate1,B10,
Plate1,B11,Plate1,B11,Sample volume needed 6.81 / available volume 5.
Source water,A1,Plate1,B11,
Plate1,B12,Plate1,B12,Sample volume needed 8.56 / available volume 5.
Source water,A1,Plate1,B12,
Plate1,C1,Plate1,C1,Sample volume needed 5.04 / available volume 5.
Source water,A1,Plate1,C1,
Plate1,C2,Plate1,C2,Sample volume needed 5.92 / available volume 5.
Source water,A1,Plate1,C2,
Plate1,C3,Plate1,C3,Sample volume needed 7.16 / available volume 5.
Source water,A1,Plate1,C3,
Plate1,C4,Plate1,C4,Sample volume needed 6.23 / available volume 5.
Source water,A1,Plate1,C4,
Plate1,C5,Plate1,C5,Sample volume needed 6.84 / available volume 5.
Source water,A1,Plate1,C5,
Plate1,C6,Plate1,C6,Sample volume needed 9.49 / available volume 5.
Source water,A1,Plate1,C6,
Plate1,C7,Plate1,C7,Sample volume needed 9.26 / available volume 5.
Source water,A1,Plate1,C7,
Plate1,C8,Plate1,C8,Sample volume needed 9.8 / available volume 5.
Source water,A1,Plate1,C8,
Plate1,C9,Plate1,C9,Sample volume needed 6.15 / available volume 5.
Source water,A1,Plate1,C9,
Plate1,C10,Plate1,C10,Sample volume needed 9.19 / available volume 5.
Source water,A1,Plate1,C10,
Plate1,C11,Plate1,C11,Sample volume needed 9.51 / available volume 5.
Source water,A1,Plate1,C11,
Plate1,C12,Plate1,C12,Sample volume needed 8.27 / available volume 5.
Source water,A1,Plate1,C12,
Plate1,D1,Plate1,D1,Sample volume needed 6.39 / available volume 5.
Source water,A1,Plate1,D1,
Plate1,D2,Plate1,D2,Sample volume needed 7.07 / available volume 5.
Source water,A1,Plate1,D2,
Plate1,D3,Plate1,D3,Sample volume needed 8.29 / available volume 5.
Source water,A1,Plate1,D3,
Plate1,D4,Plate1,D4,Sample volume needed 10.57 / available volume 5.
Source water,A1,Plate1,D4,
Plate1,D5,Plate1,D5,Sample volume needed 12.54 / available volume 5.
Source water,A1,Plate1,D5,
Plate1,D6,Plate1,D6,Sample volume needed 9.14 / available volume 5.
Source water,A1,Plate1,D6,
Plate1,D7,Plate1,D7,Sample volume needed 7.63 / available volume 5.
Source water,A1,Plate1,D7,
Plate1,D8,Plate1,D8,Sample volume needed 23.97 / available volume 5.
Source water,A1,Plate1,D8,
Plate1,D9,Plate1,D9,Sample volume needed 10.51 / available volume 5.
Source water,A1,Plate1,D9,
Plate1,D10,Plate1,D10,Sample volume needed 7.69 / available volume 5.
Source water,A1,Plate1,D10,
Plate1,D11,Plate1,D11,Sample volume needed 13.16 / available volume 5.
Source water,A1,Plate1,D11,
Plate1,D12,Plate1,D12,Sample volume needed 5.84 / available volume 5.
Source water,A1,Plate1,D12,
Plate1,E1,Plate1,E1,Sample volume needed 9.41 / available volume 5.
Source water,A1,Plate1,E1,
Plate1,E2,Plate1,E2,4.99
Source water,A1,Plate1,E2,29.99
Plate1,E3,Plate1,E3,Sample volume needed 6.21 / available volume 5.
